Issue Id,Project Key,Issue Type,Summary,Epic Name,Description,Priority,Status,Reporter,Assignee,Labels,Components,Fix Version/s,Affects Version/s,Sprint,Story Points,Created,Due Date,Parent Id,Epic Link
cdd44102,FM,Task,Task — Docs,,Task under story 'Futurematic — Implement Jira'.,Medium,To Do,bob@example.com,dev.emma@example.com,figma github jira,LLM Mesh,,,,3,2025-01-05,2025-02-04,,c7fbed0a
10daf3e2,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — Docs' within story 'Futurematic — Implement Jira'.,Low,In Progress,alice@example.com,,security,Admin,,,,,2025-05-15,2025-06-15,cdd44102,c7fbed0a
d913ea37,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Docs' within story 'Futurematic — Implement Jira'.,Lowest,In Progress,chloe@example.com,dev.ben@example.com,docs migration ops,Dot,,,Sprint 3,,2025-05-09,2025-06-15,cdd44102,c7fbed0a
0d4be47c,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — Docs' within story 'Futurematic — Implement Jira'.,Low,In Progress,bob@example.com,dev.emma@example.com,,LLM Mesh,,,Sprint 3,,2025-06-06,2025-07-13,cdd44102,c7fbed0a
23cfc937,FM,Task,Task — Telemetry,,Task under story 'Futurematic — Implement Jira'.,Medium,To Do,chloe@example.com,dev.emma@example.com,,Dot,,,Sprint 1,2,2025-07-04,2025-07-28,,c7fbed0a
82c3f955,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Implement Jira'.,Highest,In Review,chloe@example.com,dev.cara@example.com,jira mcp security,UI,,,Sprint 2,,2025-02-24,2025-03-15,23cfc937,c7fbed0a
94fa8e26,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Implement Jira'.,Lowest,In Progress,alice@example.com,,,LLM Mesh,,,,,2025-03-26,2025-05-02,23cfc937,c7fbed0a
e16ca7d0,FM,Story,Futurematic — Spec Filesystem,,User story: Futurematic — Spec Filesystem. Aligns with epic 'Futurematic — Sync Engine'.,Highest,In Progress,chloe@example.com,,docs,,,,,1,2025-03-15,2025-03-25,,c7fbed0a
7660d46d,FM,Task,Task — API wiring,,Task under story 'Futurematic — Spec Filesystem'.,Highest,To Do,bob@example.com,dev.cara@example.com,,,1.0.0,,Sprint 1,3,2025-01-03,2025-01-29,,c7fbed0a
72a63740,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — API wiring' within story 'Futurematic — Spec Filesystem'.,Lowest,In Review,bob@example.com,dev.emma@example.com,,,,,Sprint 3,,2025-07-03,2025-07-21,7660d46d,c7fbed0a
e71ba986,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — API wiring' within story 'Futurematic — Spec Filesystem'.,High,In Review,alice@example.com,dev.anna@example.com,,Admin,,,Sprint 1,,2025-02-17,2025-03-04,7660d46d,c7fbed0a
240c0f7d,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — API wiring' within story 'Futurematic — Spec Filesystem'.,Lowest,To Do,bob@example.com,dev.cara@example.com,ado jira migration,Connections,,,Sprint 3,,2025-06-27,2025-07-19,7660d46d,c7fbed0a
ea0ca51f,FM,Task,Task — UI polish,,Task under story 'Futurematic — Spec Filesystem'.,High,In Progress,bob@example.com,dev.emma@example.com,ado migration ops,Materials,,,Sprint 1,3,2025-02-26,2025-03-13,,c7fbed0a
0c5b174a,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — UI polish' within story 'Futurematic — Spec Filesystem'.,Lowest,In Progress,chloe@example.com,dev.emma@example.com,github migration,,,,Sprint 4,,2025-05-25,2025-06-08,ea0ca51f,c7fbed0a
563d77e3,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — UI polish' within story 'Futurematic — Spec Filesystem'.,High,In Progress,chloe@example.com,dev.dan@example.com,migration,,,,Sprint 4,,2025-04-25,2025-05-05,ea0ca51f,c7fbed0a
781c354a,FM,Bug,Bug — Auth failure,,Synthetic bug for Futurematic epic 'Futurematic — Sync Engine'.,Lowest,Done,bob@example.com,dev.anna@example.com,bug ,LLM Mesh,1.0.0,,Sprint 4,,2025-02-25,2025-03-08,,c7fbed0a
f5190354,FM,Epic,Futurematic — Security & Audit,Futurematic — Security & Audit,"Epic to deliver futurematic — security & audit across Futurematic.
Includes discovery, design, implementation and rollout.",High,To Do,chloe@example.com,dev.emma@example.com,,Gateway,,,,,2025-04-25,2025-05-26,,
ac531807,FM,Story,Futurematic — Integrate Notifications,,User story: Futurematic — Integrate Notifications. Aligns with epic 'Futurematic — Security & Audit'.,High,In Review,alice@example.com,dev.cara@example.com,ado backend frontend,Gateway,0.9.0,0.9.0,Sprint 1,2,2025-04-08,2025-04-29,,f5190354
74ce3749,FM,Task,Task — Error handling,,Task under story 'Futurematic — Integrate Notifications'.,Lowest,Done,bob@example.com,dev.ben@example.com,performance,Workflows,,,Sprint 3,1,2025-01-13,2025-02-04,,f5190354
4cac4b4c,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Integrate Notifications'.,Lowest,In Progress,chloe@example.com,dev.dan@example.com,,,,,,,2025-03-18,2025-04-11,74ce3749,f5190354
fee4ef29,FM,Task,Task — Docs,,Task under story 'Futurematic — Integrate Notifications'.,High,In Progress,chloe@example.com,dev.dan@example.com,,,,,Sprint 4,1,2025-02-08,2025-03-06,,f5190354
5bd5ecc0,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — Docs' within story 'Futurematic — Integrate Notifications'.,Medium,To Do,bob@example.com,dev.cara@example.com,frontend github security,,,,,,2025-03-07,2025-03-27,fee4ef29,f5190354
9b3a13ae,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — Docs' within story 'Futurematic — Integrate Notifications'.,High,In Progress,bob@example.com,,,,,,,,2025-07-05,2025-07-25,fee4ef29,f5190354
97cfcc12,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — Docs' within story 'Futurematic — Integrate Notifications'.,High,In Progress,chloe@example.com,dev.cara@example.com,,Workflows,,,Sprint 4,,2025-06-30,2025-07-20,fee4ef29,f5190354
26a49a61,FM,Task,Task — Telemetry,,Task under story 'Futurematic — Integrate Notifications'.,Medium,In Progress,bob@example.com,dev.cara@example.com,github jira security,Workflows,,,Sprint 4,1,2025-07-04,2025-08-10,,f5190354
93e92962,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Integrate Notifications'.,High,In Review,bob@example.com,,github jira ops,Admin,,,Sprint 4,,2025-04-08,2025-04-30,26a49a61,f5190354
264c24da,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Integrate Notifications'.,Highest,To Do,alice@example.com,dev.anna@example.com,,,,,Sprint 1,,2025-06-14,2025-06-24,26a49a61,f5190354
ad9a6c15,FM,Story,Futurematic — Integrate Filesystem,,User story: Futurematic — Integrate Filesystem. Aligns with epic 'Futurematic — Security & Audit'.,High,To Do,alice@example.com,dev.emma@example.com,frontend,Workflows,1.0.0,,Sprint 2,13,2025-01-16,2025-02-22,,f5190354
ece9ce27,FM,Task,Task — Perf pass,,Task under story 'Futurematic — Integrate Filesystem'.,Low,In Review,bob@example.com,dev.cara@example.com,,LLM Mesh,1.1.0,,Sprint 1,3,2025-02-08,2025-03-02,,f5190354
f24fc5dd,FM,Story,Futurematic — Implement CI,,User story: Futurematic — Implement CI. Aligns with epic 'Futurematic — Security & Audit'.,High,To Do,chloe@example.com,dev.anna@example.com,ops,Admin,,,Sprint 4,8,2025-04-08,2025-05-09,,f5190354
f321e7aa,FM,Task,Task — Error handling,,Task under story 'Futurematic — Implement CI'.,Low,In Review,alice@example.com,dev.ben@example.com,backend docs github,Materials,,,Sprint 3,3,2025-03-13,2025-03-22,,f5190354
53584ac6,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Implement CI'.,Lowest,To Do,bob@example.com,dev.ben@example.com,,,,,Sprint 3,,2025-05-09,2025-06-07,f321e7aa,f5190354
ae7be38c,FM,Story,Futurematic — Spec Search,,User story: Futurematic — Spec Search. Aligns with epic 'Futurematic — Security & Audit'.,Highest,Done,bob@example.com,dev.ben@example.com,ado backend docs,Materials,0.9.0,,,3,2025-05-06,2025-05-27,,f5190354
de540594,FM,Task,Task — Write tests,,Task under story 'Futurematic — Spec Search'.,Lowest,In Review,bob@example.com,dev.cara@example.com,performance,Gateway,,,Sprint 1,2,2025-01-28,2025-02-09,,f5190354
3fd5a8a4,FM,Task,Task — Perf pass,,Task under story 'Futurematic — Spec Search'.,High,To Do,bob@example.com,dev.dan@example.com,,Materials,,,Sprint 2,2,2025-06-03,2025-06-30,,f5190354
39f7a6be,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Perf pass' within story 'Futurematic — Spec Search'.,Low,Done,bob@example.com,dev.dan@example.com,api,,,,Sprint 4,,2025-02-07,2025-02-18,3fd5a8a4,f5190354
5530de20,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — Perf pass' within story 'Futurematic — Spec Search'.,Low,In Review,alice@example.com,dev.dan@example.com,ado api docs,,,,Sprint 2,,2025-04-28,2025-05-11,3fd5a8a4,f5190354
474bbf43,FM,Story,Futurematic — Refactor Figma,,User story: Futurematic — Refactor Figma. Aligns with epic 'Futurematic — Security & Audit'.,High,In Review,bob@example.com,,api,Gateway,1.1.0,1.1.0,,2,2025-05-03,2025-05-30,,f5190354
3340e18d,FM,Task,Task — Error handling,,Task under story 'Futurematic — Refactor Figma'.,Medium,To Do,bob@example.com,dev.dan@example.com,security ux,Gateway,0.9.0,,Sprint 4,3,2025-02-23,2025-03-30,,f5190354
7b08f474,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Refactor Figma'.,Highest,To Do,alice@example.com,dev.ben@example.com,,,,,,,2025-01-10,2025-02-09,3340e18d,f5190354
26906d1f,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Refactor Figma'.,Lowest,In Review,alice@example.com,dev.emma@example.com,jira mcp prototype,Admin,,,Sprint 2,,2025-01-28,2025-02-04,3340e18d,f5190354
1b499861,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Refactor Figma'.,Medium,Done,alice@example.com,dev.anna@example.com,api performance ux,Materials,,,Sprint 3,,2025-05-04,2025-05-17,3340e18d,f5190354
be24371f,FM,Task,Task — Docs,,Task under story 'Futurematic — Refactor Figma'.,Medium,To Do,bob@example.com,dev.anna@example.com,,Connections,,,Sprint 2,3,2025-07-04,2025-08-08,,f5190354
cb9f5f97,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — Docs' within story 'Futurematic — Refactor Figma'.,High,In Progress,bob@example.com,dev.ben@example.com,,Materials,,,Sprint 4,,2025-05-24,2025-06-27,be24371f,f5190354
a6c2c13d,FM,Story,Futurematic — Harden Figma,,User story: Futurematic — Harden Figma. Aligns with epic 'Futurematic — Security & Audit'.,Lowest,To Do,chloe@example.com,dev.ben@example.com,ops,LLM Mesh,1.1.0,,Sprint 1,13,2025-02-22,2025-03-18,,f5190354
6bcbb875,FM,Task,Task — Perf pass,,Task under story 'Futurematic — Harden Figma'.,Highest,To Do,chloe@example.com,dev.ben@example.com,ux,Admin,1.1.0,,Sprint 2,2,2025-02-14,2025-03-12,,f5190354
e31b61f5,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Perf pass' within story 'Futurematic — Harden Figma'.,Highest,In Progress,bob@example.com,dev.cara@example.com,,,,,Sprint 4,,2025-06-12,2025-06-30,6bcbb875,f5190354
b77770c3,FM,Task,Task — Telemetry,,Task under story 'Futurematic — Harden Figma'.,High,Done,chloe@example.com,dev.dan@example.com,ops performance,Studio,0.9.0,,Sprint 3,2,2025-04-09,2025-05-18,,f5190354
e07b8c50,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Harden Figma'.,Highest,To Do,chloe@example.com,dev.anna@example.com,,,,,Sprint 4,,2025-05-25,2025-07-02,b77770c3,f5190354
5123c4de,FM,Story,Futurematic — Integrate ADO,,User story: Futurematic — Integrate ADO. Aligns with epic 'Futurematic — Security & Audit'.,Lowest,Done,bob@example.com,,ops,Connections,0.9.0,,,3,2025-07-08,2025-07-30,,f5190354
3ee53699,FM,Task,Task — Error handling,,Task under story 'Futurematic — Integrate ADO'.,Highest,In Progress,alice@example.com,dev.ben@example.com,api migration ux,Dot,1.1.0,,,3,2025-04-20,2025-05-07,,f5190354
c89bfc45,FM,Task,Task — UI polish,,Task under story 'Futurematic — Integrate ADO'.,Lowest,In Review,chloe@example.com,dev.ben@example.com,security,,1.1.0,,Sprint 2,2,2025-07-12,2025-08-14,,f5190354
a623cef0,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — UI polish' within story 'Futurematic — Integrate ADO'.,Lowest,Done,chloe@example.com,dev.cara@example.com,ops prototype,,,,,,2025-04-26,2025-05-07,c89bfc45,f5190354
66bafc11,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — UI polish' within story 'Futurematic — Integrate ADO'.,Lowest,Done,alice@example.com,dev.dan@example.com,,Admin,,,Sprint 2,,2025-06-12,2025-07-11,c89bfc45,f5190354
bd5f9376,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — UI polish' within story 'Futurematic — Integrate ADO'.,Lowest,To Do,chloe@example.com,dev.dan@example.com,ops,Gateway,,,,,2025-03-29,2025-04-08,c89bfc45,f5190354
e4ce445b,FM,Task,Task — Write tests,,Task under story 'Futurematic — Integrate ADO'.,Lowest,In Review,bob@example.com,dev.anna@example.com,docs frontend performance,Materials,,,Sprint 1,1,2025-02-10,2025-03-06,,f5190354
30792763,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — Write tests' within story 'Futurematic — Integrate ADO'.,High,To Do,alice@example.com,dev.cara@example.com,jira performance,Materials,,,Sprint 1,,2025-02-27,2025-04-08,e4ce445b,f5190354
7fc206bb,FM,Story,Futurematic — Spec OpenAPI,,User story: Futurematic — Spec OpenAPI. Aligns with epic 'Futurematic — Security & Audit'.,Low,To Do,chloe@example.com,dev.emma@example.com,api ops performance,,,0.9.0,Sprint 1,2,2025-02-05,2025-03-08,,f5190354
c0e18c30,FM,Task,Task — Perf pass,,Task under story 'Futurematic — Spec OpenAPI'.,Medium,Done,bob@example.com,dev.ben@example.com,backend migration security,Workflows,1.1.0,,Sprint 3,3,2025-07-06,2025-08-06,,f5190354
dc1948fa,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Perf pass' within story 'Futurematic — Spec OpenAPI'.,Low,Done,bob@example.com,dev.anna@example.com,,,,,Sprint 3,,2025-03-17,2025-03-27,c0e18c30,f5190354
7b67d75d,FM,Bug,Bug — Token mismatch,,Synthetic bug for Futurematic epic 'Futurematic — Security & Audit'.,High,To Do,alice@example.com,dev.emma@example.com,bug ,Gateway,,,Sprint 4,,2025-05-20,2025-06-07,,f5190354
aa590581,FM,Bug,Bug — UI overflow,,Synthetic bug for Futurematic epic 'Futurematic — Security & Audit'.,Medium,To Do,bob@example.com,dev.anna@example.com,bug ado,Admin,,,Sprint 1,,2025-05-18,2025-06-03,,f5190354
5d256886,FM,Bug,Bug — Slow CI fetch,,Synthetic bug for Futurematic epic 'Futurematic — Security & Audit'.,Lowest,In Progress,alice@example.com,dev.dan@example.com,bug ,Dot,1.1.0,0.9.0,,,2025-07-06,2025-07-28,,f5190354
07f78a7e,FM,Bug,Bug — Auth failure,,Synthetic bug for Futurematic epic 'Futurematic — Security & Audit'.,Medium,In Progress,chloe@example.com,dev.cara@example.com,bug ,,,,Sprint 1,,2025-03-08,2025-03-25,,f5190354
f7a4953d,FM,Epic,Futurematic — Gateway,Futurematic — Gateway,"Epic to deliver futurematic — gateway across Futurematic.
Includes discovery, design, implementation and rollout.",High,In Progress,bob@example.com,dev.ben@example.com,prototype,Connections,1.1.0,0.9.0,Sprint 4,,2025-04-03,2025-04-13,,
a24c8fa7,FM,Story,Futurematic — Design Jira,,User story: Futurematic — Design Jira. Aligns with epic 'Futurematic — Gateway'.,Medium,In Progress,bob@example.com,dev.cara@example.com,mcp,UI,0.9.0,,Sprint 4,2,2025-05-22,2025-06-24,,f7a4953d
a2d23e8b,FM,Task,Task — Telemetry,,Task under story 'Futurematic — Design Jira'.,Medium,To Do,chloe@example.com,dev.dan@example.com,ux,Workflows,0.9.0,,,1,2025-03-14,2025-04-09,,f7a4953d
512826ec,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Design Jira'.,Lowest,In Progress,chloe@example.com,dev.cara@example.com,api frontend prototype,,,,Sprint 3,,2025-01-02,2025-02-04,a2d23e8b,f7a4953d
bd4ea171,FM,Task,Task — Perf pass,,Task under story 'Futurematic — Design Jira'.,High,To Do,alice@example.com,dev.cara@example.com,,Gateway,1.0.0,,Sprint 1,3,2025-03-02,2025-04-04,,f7a4953d
4f1ed51b,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Perf pass' within story 'Futurematic — Design Jira'.,High,In Progress,alice@example.com,dev.cara@example.com,ado prototype,Admin,,,Sprint 3,,2025-01-20,2025-01-30,bd4ea171,f7a4953d
05536065,FM,Story,Futurematic — Design GitHub,,User story: Futurematic — Design GitHub. Aligns with epic 'Futurematic — Gateway'.,Lowest,In Progress,bob@example.com,dev.dan@example.com,migration,Materials,1.0.0,0.9.0,,2,2025-07-19,2025-08-01,,f7a4953d
eec6f00b,FM,Task,Task — Perf pass,,Task under story 'Futurematic — Design GitHub'.,Medium,In Progress,alice@example.com,,frontend migration,,0.9.0,,,3,2025-01-11,2025-01-31,,f7a4953d
079b2e66,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — Perf pass' within story 'Futurematic — Design GitHub'.,Low,To Do,alice@example.com,dev.anna@example.com,performance,Gateway,,,Sprint 1,,2025-04-29,2025-05-12,eec6f00b,f7a4953d
eaf185f4,FM,Task,Task — Write tests,,Task under story 'Futurematic — Design GitHub'.,Lowest,In Progress,chloe@example.com,dev.dan@example.com,,Admin,1.0.0,,,2,2025-01-20,2025-01-28,,f7a4953d
f91b4daf,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — Write tests' within story 'Futurematic — Design GitHub'.,Low,In Review,alice@example.com,dev.ben@example.com,performance prototype,Materials,,,Sprint 4,,2025-04-08,2025-05-12,eaf185f4,f7a4953d
a6cf3b37,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — Write tests' within story 'Futurematic — Design GitHub'.,Lowest,In Review,bob@example.com,dev.ben@example.com,ado migration prototype,,,,,,2025-05-03,2025-05-13,eaf185f4,f7a4953d
e03d4e58,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — Write tests' within story 'Futurematic — Design GitHub'.,Medium,In Review,bob@example.com,dev.cara@example.com,mcp security,Workflows,,,Sprint 4,,2025-05-03,2025-06-10,eaf185f4,f7a4953d
37912a38,FM,Task,Task — Telemetry,,Task under story 'Futurematic — Design GitHub'.,Low,To Do,alice@example.com,dev.ben@example.com,ado frontend security,Gateway,0.9.0,,,3,2025-05-30,2025-06-20,,f7a4953d
3e2f4cf9,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Design GitHub'.,Highest,In Progress,chloe@example.com,dev.ben@example.com,migration ux,Studio,,,,,2025-01-08,2025-02-06,37912a38,f7a4953d
c5a2e908,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Design GitHub'.,Lowest,In Review,chloe@example.com,dev.ben@example.com,,Admin,,,Sprint 2,,2025-05-15,2025-06-21,37912a38,f7a4953d
9a6fd7fd,FM,Story,Futurematic — Design ADO,,User story: Futurematic — Design ADO. Aligns with epic 'Futurematic — Gateway'.,Medium,Done,chloe@example.com,dev.anna@example.com,performance prototype,Gateway,,,Sprint 3,1,2025-05-15,2025-06-14,,f7a4953d
a99b79e9,FM,Task,Task — Telemetry,,Task under story 'Futurematic — Design ADO'.,Medium,In Review,alice@example.com,dev.ben@example.com,,Studio,,,Sprint 2,1,2025-02-14,2025-03-17,,f7a4953d
a6c44f44,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Design ADO'.,Low,In Review,bob@example.com,dev.ben@example.com,,Admin,,,Sprint 3,,2025-03-26,2025-04-06,a99b79e9,f7a4953d
7a76864b,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Design ADO'.,Lowest,To Do,alice@example.com,dev.dan@example.com,docs performance,Gateway,,,Sprint 4,,2025-03-31,2025-04-23,a99b79e9,f7a4953d
7fb058fa,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Design ADO'.,Low,Done,alice@example.com,dev.anna@example.com,backend ux,,,,,,2025-05-28,2025-06-18,a99b79e9,f7a4953d
8cd51e0e,FM,Task,Task — Perf pass,,Task under story 'Futurematic — Design ADO'.,Highest,Done,chloe@example.com,dev.anna@example.com,docs mcp performance,Connections,0.9.0,,Sprint 3,2,2025-01-24,2025-02-21,,f7a4953d
eac1eff1,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — Perf pass' within story 'Futurematic — Design ADO'.,Highest,Done,alice@example.com,dev.anna@example.com,,LLM Mesh,,,Sprint 1,,2025-01-13,2025-02-14,8cd51e0e,f7a4953d
31421c97,FM,Task,Task — Error handling,,Task under story 'Futurematic — Design ADO'.,High,To Do,bob@example.com,dev.dan@example.com,backend figma ux,Dot,1.0.0,,Sprint 4,2,2025-03-16,2025-03-28,,f7a4953d
430e32cb,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Design ADO'.,Highest,To Do,alice@example.com,dev.anna@example.com,ado migration,Materials,,,,,2025-02-27,2025-03-23,31421c97,f7a4953d
fd0af2b0,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Design ADO'.,Highest,In Progress,bob@example.com,dev.cara@example.com,,Dot,,,Sprint 4,,2025-05-18,2025-06-24,31421c97,f7a4953d
613387ac,FM,Sub-task,Sub-task — Refactor step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Design ADO'.,Low,To Do,bob@example.com,,,Workflows,,,Sprint 1,,2025-02-24,2025-03-15,31421c97,f7a4953d
ed47ca5f,FM,Story,Futurematic — Refactor CI,,User story: Futurematic — Refactor CI. Aligns with epic 'Futurematic — Gateway'.,Highest,Done,alice@example.com,dev.emma@example.com,backend docs,,,,,3,2025-05-22,2025-06-18,,f7a4953d
b603746b,FM,Task,Task — Docs,,Task under story 'Futurematic — Refactor CI'.,Highest,Done,alice@example.com,dev.ben@example.com,mcp,Gateway,,,,2,2025-06-17,2025-07-25,,f7a4953d
3401671e,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — Docs' within story 'Futurematic — Refactor CI'.,Medium,In Review,bob@example.com,,performance,,,,Sprint 3,,2025-03-28,2025-04-23,b603746b,f7a4953d
89c38d16,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Docs' within story 'Futurematic — Refactor CI'.,Low,Done,alice@example.com,dev.dan@example.com,api frontend github,Dot,,,Sprint 4,,2025-06-04,2025-06-16,b603746b,f7a4953d
bed56cea,FM,Task,Task — Telemetry,,Task under story 'Futurematic — Refactor CI'.,Low,In Progress,alice@example.com,dev.anna@example.com,,Workflows,,,Sprint 1,1,2025-05-15,2025-05-23,,f7a4953d
23f36cc1,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Refactor CI'.,Low,Done,chloe@example.com,dev.emma@example.com,,Connections,,,Sprint 4,,2025-06-02,2025-07-07,bed56cea,f7a4953d
3d47ab20,FM,Sub-task,Sub-task — Document step,,Sub-task for 'Task — Telemetry' within story 'Futurematic — Refactor CI'.,Low,In Progress,chloe@example.com,dev.ben@example.com,,Studio,,,,,2025-07-19,2025-08-08,bed56cea,f7a4953d
d55f82ba,FM,Story,Futurematic — Refactor Jira,,User story: Futurematic — Refactor Jira. Aligns with epic 'Futurematic — Gateway'.,Medium,In Review,bob@example.com,,security ux,,,,Sprint 3,8,2025-02-27,2025-03-22,,f7a4953d
3de84155,FM,Task,Task — Perf pass,,Task under story 'Futurematic — Refactor Jira'.,Lowest,Done,alice@example.com,,api github ux,Workflows,,,,3,2025-03-14,2025-04-09,,f7a4953d
d76a67ea,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — Perf pass' within story 'Futurematic — Refactor Jira'.,Lowest,Done,bob@example.com,,docs jira,Materials,,,,,2025-06-24,2025-07-09,3de84155,f7a4953d
12ff9507,FM,Sub-task,Sub-task — Review step,,Sub-task for 'Task — Perf pass' within story 'Futurematic — Refactor Jira'.,Highest,In Review,alice@example.com,dev.emma@example.com,ops,,,,,,2025-06-21,2025-07-20,3de84155,f7a4953d
ee234562,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — Perf pass' within story 'Futurematic — Refactor Jira'.,Low,In Review,alice@example.com,dev.cara@example.com,api ux,,,,Sprint 4,,2025-06-17,2025-06-29,3de84155,f7a4953d
0df3d05c,FM,Task,Task — Error handling,,Task under story 'Futurematic — Refactor Jira'.,High,In Progress,chloe@example.com,,migration ux,Dot,0.9.0,,Sprint 4,3,2025-05-30,2025-06-10,,f7a4953d
81dce460,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — Error handling' within story 'Futurematic — Refactor Jira'.,Low,In Review,chloe@example.com,dev.anna@example.com,,Dot,,,Sprint 1,,2025-05-05,2025-06-02,0df3d05c,f7a4953d
264fecff,FM,Task,Task — Docs,,Task under story 'Futurematic — Refactor Jira'.,High,Done,bob@example.com,dev.dan@example.com,,Admin,1.1.0,,Sprint 1,1,2025-06-12,2025-07-16,,f7a4953d
e1570cb8,FM,Sub-task,Sub-task — Test step,,Sub-task for 'Task — Docs' within story 'Futurematic — Refactor Jira'.,Lowest,Done,chloe@example.com,dev.emma@example.com,github,Workflows,,,Sprint 3,,2025-03-21,2025-04-05,264fecff,f7a4953d
e3321f5e,FM,Bug,Bug — Token mismatch,,Synthetic bug for Futurematic epic 'Futurematic — Gateway'.,Low,In Progress,bob@example.com,dev.anna@example.com,bug jira performance security,UI,,,,,2025-05-06,2025-06-04,,f7a4953d
f9cb4849,FM,Bug,Bug — UI overflow,,Synthetic bug for Futurematic epic 'Futurematic — Gateway'.,Lowest,To Do,alice@example.com,dev.anna@example.com,bug backend migration,Dot,,,,,2025-01-13,2025-01-23,,f7a4953d
e1803e5d,FM,Epic,Futurematic — Product Tree,Futurematic — Product Tree,"Epic to deliver futurematic — product tree across Futurematic.
Includes discovery, design, implementation and rollout.",High,To Do,chloe@example.com,dev.emma@example.com,ado,Materials,,,Sprint 4,,2025-06-09,2025-06-24,,
5d9ba12d,FM,Story,Futurematic — Refactor Search,,User story: Futurematic — Refactor Search. Aligns with epic 'Futurematic — Product Tree'.,Low,To Do,alice@example.com,,,UI,1.1.0,,,3,2025-02-23,2025-04-01,,e1803e5d
4eb1e3d0,FM,Task,Task — Write tests,,Task under story 'Futurematic — Refactor Search'.,Lowest,In Progress,alice@example.com,dev.cara@example.com,api docs jira,Studio,,,Sprint 2,2,2025-04-29,2025-05-09,,e1803e5d
820cc306,FM,Sub-task,Sub-task — Implement step,,Sub-task for 'Task — Write tests' within story 'Futurematic — Refactor Search'.,Low,To Do,bob@example.com,,,,,,Sprint 2,,2025-04-06,2025-05-04,4eb1e3d0,e1803e5d
